question|answer0|answer1|answer2|answer3|correct_answer|chapter
Como instruir o computador a fazer algo?|Usando um programa|Desenhando|Calculando algo|Pedindo com educação|0|1
Um computador fala em:|Espanhol|Código Binário|Música|Programação|1|1
Um programa, para o computador, é como:|Desenho|Canvas|Alimento|Uma série de instruções|3|1
Programas servem para se ? com o computador|comunicar|entender|abraçar|ordenar|0|1
É necessário uma ? para programar|placa de vídeo|impressora|linguagem de programação|receita|2|1
Um algoritmo é como um(a) ?|desenho|receita|expressão matemática|recado|1|2
O computador entender uma linguagem de programação como:|um idioma|uma receita|uma conta|uma ideia|0|2
Usar linguagens diferentes para um mesmo algoritmo contém:|palavras parecidas|cores diferentes|a mesma lógica|resultados diferentes|2|2
Um algoritmo ignora vários fatores. Um dele, por exemplo, é:|os ingredientes|a lógica usada|o sistema operacional|o passo a passo|2|2
Linguagens diferentes e mesmos algoritmos geram um:|resultado igual|resultado diferente|não funciona|não geram nada|0|2
Um algoritmo é como uma sequência ? de passos|infinita|desordenada|inacabada|finita|3|3
Um algoritmo ? ambíguo|já foi|às vezes é|nunca é|sempre é|2|3
Os pastores contavam as ovelhas usando:|galhos|conchas|pedras|Nenhuma das opções|2|3
Cada pedra, eventualmente, passou a valer ? ovelhas.|sete e meio|cinco|dez|duas|2|3
A sequência de passos para realizar uma conta é equivalente a ?|um texto|uma ideia|uma foto|um algoritmo|3|3
Python é uma linguagem de ?|baixo nível|médio nível|nível zero|alto nível|3|4
É mais ?, para um leigo, entender uma linguagem de alto nível|difícil|fácil|complexo|chato|1|4
É necessário saber como um computador funciona para programar?|Sim|Não|Talvez|Nenhuma das opções|0|4
Python usa palavras e comandos com nomes ?|complexos|difíceis|em espanhol|simples|3|4
"É muito comum que muitos ""não programadores"" utilizem Python."|VERDADEIRO|FALSO|Depende|Nenhuma das opções|0|4
Variáveis são usadas para ? um valor|esconder|guardar|mudar|apagar|1|5
Variáveis são guardadas ? do computador|no mouse|no gabinete|na memória|no monitor|3|5
Variáveis são como ? para guardar informações|folhas|caixas|lápis|lousas|1|5
